id,comida_preferida,frecuencia_consumo,gasto_promedio,satisfaccion_producto,satisfaccion_servicio,tiempo_entrega,precio_percepcion,recomendaria,volveria_comprar,calificacion_general
166,Tacos,Quincenal,37,2,5,Aceptable,Alto,2,False,8
167,Pizza,Mensual,63,3,3,Lento,Medio,0,False,10
168,Hamburguesas,Quincenal,77,0,6,Rápido,Bajo,2,True,3
169,Pizza,Semanal,41,5,9,Rápido,Bajo,3,False,8
170,Hamburguesas,Quincenal,32,4,6,Lento,Bajo,10,True,5
171,Hamburguesas,Quincenal,106,6,5,Rápido,Medio,8,True,8
172,Hot Dogs,Mensual,27,6,3,Lento,Bajo,8,False,0
173,Hot Dogs,Semanal,72,5,2,Lento,Alto,8,True,1
174,Pollo Frito,Mensual,108,3,8,Aceptable,Alto,4,False,3
175,Tacos,Quincenal,36,10,0,Aceptable,Bajo,2,True,6
176,Tacos,Quincenal,49,4,5,Lento,Bajo,5,False,2
177,Hot Dogs,Semanal,71,4,4,Lento,Medio,0,True,2
178,Pizza,Diario,61,0,10,Lento,Alto,4,False,6
179,Hamburguesas,Diario,22,4,0,Lento,Alto,7,False,0
180,Pollo Frito,Diario,42,0,7,Lento,Medio,6,False,3
181,Tacos,Quincenal,93,2,2,Lento,Medio,4,True,9
182,Hamburguesas,Quincenal,48,5,4,Lento,Bajo,7,True,8
183,Pizza,Semanal,120,4,7,Rápido,Bajo,2,True,9
184,Pizza,Quincenal,89,10,4,Rápido,Medio,7,True,0
185,Pizza,Semanal,107,2,0,Aceptable,Medio,4,True,6
186,Hot Dogs,Semanal,99,6,4,Lento,Bajo,9,False,2
187,Pizza,Quincenal,76,7,2,Rápido,Medio,6,True,6
188,Pizza,Quincenal,89,8,10,Aceptable,Bajo,10,False,5
189,Hot Dogs,Semanal,114,9,2,Lento,Alto,6,False,0
190,Hamburguesas,Semanal,72,2,3,Rápido,Alto,8,True,0
191,Hamburguesas,Quincenal,62,1,2,Aceptable,Medio,7,False,2
192,Pizza,Semanal,86,7,8,Lento,Bajo,2,True,8
193,Hot Dogs,Diario,24,2,7,Aceptable,Bajo,9,False,5
194,Hot Dogs,Quincenal,41,0,10,Aceptable,Medio,2,True,8
195,Pollo Frito,Diario,97,6,8,Aceptable,Medio,3,False,3
196,Hot Dogs,Mensual,61,10,5,Aceptable,Bajo,1,False,2
197,Hamburguesas,Quincenal,39,0,10,Aceptable,Alto,2,False,10
198,Pizza,Mensual,57,0,8,Lento,Alto,7,True,3
199,Hot Dogs,Mensual,26,8,3,Lento,Medio,3,False,3
200,Pollo Frito,Quincenal,75,8,0,Rápido,Bajo,1,False,2
201,Tacos,Diario,69,9,0,Lento,Bajo,0,False,1
202,Pizza,Diario,34,7,0,Aceptable,Alto,8,True,9
203,Hot Dogs,Quincenal,102,4,2,Lento,Medio,2,True,10
204,Hamburguesas,Quincenal,107,5,3,Rápido,Medio,1,False,4
205,Pollo Frito,Quincenal,46,7,8,Lento,Medio,4,True,1
206,Tacos,Mensual,41,7,5,Lento,Bajo,8,False,3
207,Pollo Frito,Mensual,45,10,1,Rápido,Bajo,3,False,4
208,Hamburguesas,Semanal,89,8,5,Aceptable,Medio,9,False,7
209,Tacos,Semanal,56,7,10,Rápido,Alto,5,True,7
210,Hot Dogs,Diario,69,10,1,Rápido,Medio,3,False,2
211,Tacos,Diario,96,4,4,Aceptable,Medio,5,False,8
212,Hamburguesas,Diario,79,2,5,Lento,Bajo,9,False,10
213,Hot Dogs,Quincenal,31,1,7,Lento,Medio,7,False,6
214,Pizza,Mensual,72,4,6,Aceptable,Bajo,9,False,2
215,Pollo Frito,Semanal,25,3,3,Aceptable,Bajo,3,True,6
216,Hamburguesas,Semanal,97,10,5,Lento,Bajo,10,True,5
217,Hot Dogs,Quincenal,112,4,1,Aceptable,Bajo,5,False,7
218,Pollo Frito,Semanal,55,7,4,Rápido,Medio,1,False,8
219,Hot Dogs,Semanal,25,1,1,Aceptable,Alto,6,False,9
220,Pizza,Semanal,69,10,8,Lento,Alto,8,False,7
221,Tacos,Semanal,104,2,3,Lento,Bajo,5,True,2
222,Hot Dogs,Semanal,21,10,1,Aceptable,Alto,8,False,9
223,Pizza,Quincenal,97,3,7,Rápido,Medio,3,True,9
224,Hot Dogs,Diario,68,8,2,Lento,Bajo,1,True,4
225,Tacos,Semanal,75,6,0,Lento,Bajo,3,True,7
226,Hot Dogs,Diario,114,0,4,Lento,Alto,1,True,5
227,Pizza,Semanal,46,3,10,Lento,Bajo,6,True,0
228,Tacos,Semanal,98,4,1,Aceptable,Medio,4,False,2
229,Tacos,Semanal,80,10,3,Lento,Bajo,7,True,6
230,Tacos,Diario,102,7,9,Aceptable,Alto,0,False,2
231,Hamburguesas,Semanal,100,0,1,Aceptable,Alto,6,True,1
232,Hot Dogs,Quincenal,36,1,1,Rápido,Medio,10,True,9
233,Hamburguesas,Diario,112,6,4,Rápido,Bajo,0,False,5
234,Pizza,Quincenal,106,7,9,Lento,Alto,8,True,6
235,Hamburguesas,Quincenal,68,7,5,Rápido,Bajo,2,False,2
236,Tacos,Semanal,107,7,1,Rápido,Alto,4,False,0
237,Pizza,Semanal,24,5,2,Rápido,Medio,8,True,6
238,Hamburguesas,Diario,108,9,1,Aceptable,Alto,5,True,10
239,Pizza,Mensual,117,9,3,Aceptable,Alto,6,False,9
240,Tacos,Semanal,120,8,0,Rápido,Bajo,6,True,6
241,Hamburguesas,Diario,49,7,5,Rápido,Bajo,7,False,1
242,Tacos,Quincenal,113,9,4,Rápido,Alto,5,True,3
243,Hot Dogs,Mensual,88,1,5,Rápido,Bajo,1,True,10
244,Tacos,Semanal,90,10,7,Lento,Alto,9,False,10
245,Hamburguesas,Diario,91,4,1,Aceptable,Bajo,5,True,8
246,Pizza,Mensual,105,7,10,Rápido,Alto,4,True,6
247,Pizza,Diario,23,7,7,Aceptable,Medio,8,True,7
248,Hot Dogs,Diario,50,3,7,Aceptable,Medio,7,True,8
249,Pollo Frito,Semanal,73,7,6,Rápido,Alto,7,True,5
250,Pizza,Semanal,74,1,3,Lento,Alto,4,True,9
251,Tacos,Quincenal,72,9,1,Lento,Alto,10,False,8
252,Pollo Frito,Mensual,119,6,3,Rápido,Medio,9,False,9
253,Tacos,Quincenal,75,7,1,Aceptable,Bajo,4,False,3
254,Pollo Frito,Semanal,86,8,6,Rápido,Medio,10,False,8
255,Hot Dogs,Quincenal,31,9,2,Aceptable,Bajo,1,True,10
256,Pollo Frito,Semanal,20,8,5,Rápido,Bajo,10,True,0
257,Pizza,Semanal,31,6,2,Aceptable,Alto,4,True,5
258,Pizza,Mensual,98,9,6,Rápido,Medio,10,True,0
259,Hamburguesas,Quincenal,80,8,8,Lento,Bajo,5,False,5
260,Hamburguesas,Quincenal,77,7,8,Lento,Bajo,3,True,8
261,Tacos,Diario,67,9,8,Lento,Alto,6,True,4
262,Tacos,Semanal,86,8,10,Rápido,Bajo,4,True,1
263,Hamburguesas,Quincenal,43,5,3,Rápido,Bajo,2,False,1
264,Tacos,Diario,50,8,3,Rápido,Bajo,9,False,5
265,Pollo Frito,Quincenal,57,10,0,Lento,Medio,7,True,1
266,Pizza,Quincenal,98,10,5,Rápido,Medio,0,True,0
267,Pizza,Diario,60,2,8,Lento,Medio,7,True,8
268,Pollo Frito,Diario,61,8,2,Rápido,Alto,0,False,0
269,Pollo Frito,Semanal,107,5,7,Aceptable,Medio,7,False,1
270,Pizza,Diario,74,6,8,Lento,Alto,5,True,6
271,Hot Dogs,Semanal,81,7,0,Lento,Medio,0,True,5
272,Hamburguesas,Quincenal,106,2,5,Lento,Alto,9,True,10
273,Hot Dogs,Semanal,21,3,2,Rápido,Alto,7,True,10
274,Tacos,Diario,20,2,5,Aceptable,Bajo,1,False,7
275,Tacos,Mensual,48,6,9,Lento,Alto,6,True,7
276,Pollo Frito,Diario,83,9,7,Aceptable,Alto,8,True,8
277,Pizza,Mensual,29,6,9,Aceptable,Medio,7,True,9
278,Pollo Frito,Mensual,72,8,10,Rápido,Alto,6,True,9
279,Pollo Frito,Quincenal,35,6,4,Aceptable,Alto,3,True,8
280,Pizza,Semanal,57,6,3,Aceptable,Alto,7,False,4
281,Hamburguesas,Quincenal,44,5,1,Rápido,Bajo,1,False,6
282,Hamburguesas,Diario,25,7,2,Rápido,Bajo,0,False,8
283,Tacos,Mensual,86,4,7,Rápido,Alto,0,False,5
284,Pollo Frito,Quincenal,106,9,8,Aceptable,Bajo,0,False,1
285,Pizza,Quincenal,69,3,5,Rápido,Alto,0,False,0
286,Hot Dogs,Mensual,112,5,0,Aceptable,Medio,10,False,3
287,Pollo Frito,Quincenal,33,7,9,Aceptable,Alto,6,True,3
288,Hot Dogs,Quincenal,118,2,10,Lento,Medio,6,True,6
289,Hot Dogs,Diario,38,2,0,Rápido,Medio,0,True,1
290,Hot Dogs,Diario,96,8,3,Aceptable,Alto,4,True,3
291,Tacos,Diario,99,10,9,Aceptable,Bajo,7,False,1
292,Tacos,Quincenal,84,1,8,Lento,Alto,0,False,9
293,Pizza,Semanal,82,3,1,Rápido,Alto,1,True,4
294,Pollo Frito,Mensual,54,1,10,Aceptable,Bajo,5,False,10
295,Pollo Frito,Diario,37,10,6,Lento,Medio,9,False,5
296,Hot Dogs,Quincenal,82,1,4,Rápido,Medio,6,False,7
297,Pollo Frito,Diario,120,9,6,Rápido,Alto,3,False,10
298,Pizza,Quincenal,79,5,2,Aceptable,Medio,3,True,7
299,Pollo Frito,Mensual,90,4,8,Aceptable,Medio,7,True,10
300,Pizza,Diario,106,0,0,Lento,Alto,4,False,7
301,Hot Dogs,Quincenal,117,0,7,Lento,Medio,4,False,10
302,Hot Dogs,Diario,86,3,7,Rápido,Bajo,4,True,8
303,Pollo Frito,Quincenal,53,5,2,Rápido,Bajo,1,False,4
304,Pollo Frito,Quincenal,39,1,0,Rápido,Medio,8,True,0
305,Pizza,Semanal,34,3,7,Lento,Alto,4,True,8
306,Pizza,Quincenal,53,1,7,Rápido,Medio,7,False,6
307,Tacos,Quincenal,76,0,2,Lento,Bajo,8,False,0
308,Pizza,Quincenal,59,3,0,Lento,Alto,9,True,1
309,Pollo Frito,Diario,120,6,7,Rápido,Alto,0,True,1
310,Tacos,Quincenal,107,0,3,Aceptable,Medio,0,False,7
311,Pizza,Quincenal,79,2,3,Rápido,Medio,6,True,9
312,Pollo Frito,Mensual,24,6,1,Rápido,Bajo,5,False,9
313,Hamburguesas,Semanal,52,5,5,Lento,Alto,4,False,7
314,Hot Dogs,Mensual,62,2,10,Aceptable,Medio,5,True,10
315,Hamburguesas,Semanal,115,3,7,Rápido,Medio,5,True,9
316,Hot Dogs,Diario,91,3,8,Lento,Bajo,9,False,8
317,Tacos,Quincenal,90,4,10,Lento,Bajo,9,False,1
318,Tacos,Semanal,24,5,1,Aceptable,Medio,10,True,1
319,Tacos,Mensual,61,4,7,Rápido,Medio,0,False,9
320,Tacos,Semanal,114,7,9,Aceptable,Bajo,4,True,1
321,Hot Dogs,Mensual,89,2,10,Lento,Medio,6,False,9
322,Tacos,Mensual,104,8,0,Rápido,Medio,10,False,1
323,Tacos,Diario,26,1,10,Rápido,Bajo,3,False,9
324,Hot Dogs,Mensual,80,1,4,Lento,Medio,1,False,2
325,Tacos,Quincenal,26,9,7,Lento,Bajo,6,True,6
326,Pollo Frito,Quincenal,115,8,4,Aceptable,Alto,7,False,2
327,Hamburguesas,Mensual,84,1,9,Rápido,Bajo,1,True,2
328,Hamburguesas,Mensual,73,3,5,Aceptable,Alto,8,False,2
329,Tacos,Diario,100,6,2,Lento,Bajo,10,False,10
330,Tacos,Mensual,81,1,7,Rápido,Bajo,0,False,4
331,Pizza,Semanal,69,2,7,Aceptable,Bajo,4,True,9
332,Tacos,Diario,118,3,2,Rápido,Bajo,9,False,3
333,Pizza,Diario,72,3,9,Lento,Medio,8,True,7
334,Hot Dogs,Quincenal,54,6,9,Aceptable,Alto,9,True,1
335,Hot Dogs,Quincenal,116,10,10,Aceptable,Alto,8,False,2
336,Hamburguesas,Semanal,45,1,1,Rápido,Alto,4,False,5
337,Pollo Frito,Semanal,115,1,10,Lento,Medio,6,True,7
338,Pizza,Diario,89,7,0,Aceptable,Alto,8,True,8
339,Hamburguesas,Semanal,95,1,4,Aceptable,Bajo,5,True,6
340,Pollo Frito,Quincenal,117,9,10,Rápido,Medio,3,True,2
341,Pollo Frito,Diario,75,5,5,Aceptable,Bajo,10,True,5
342,Pollo Frito,Diario,78,2,6,Rápido,Medio,1,True,8
343,Tacos,Semanal,45,7,10,Rápido,Bajo,9,True,5
344,Pizza,Quincenal,25,10,1,Aceptable,Medio,2,True,4
345,Hot Dogs,Diario,112,10,7,Rápido,Alto,0,True,6
346,Tacos,Diario,98,9,0,Aceptable,Alto,2,False,5
347,Hot Dogs,Mensual,119,2,0,Lento,Bajo,3,True,8
348,Hot Dogs,Quincenal,76,8,9,Rápido,Medio,8,False,8
349,Pollo Frito,Quincenal,114,0,8,Lento,Bajo,3,False,2
350,Hamburguesas,Semanal,62,2,5,Aceptable,Alto,6,False,3
351,Hot Dogs,Mensual,29,8,5,Aceptable,Bajo,1,False,2
352,Tacos,Mensual,60,3,1,Lento,Medio,0,True,3
353,Hot Dogs,Mensual,27,10,8,Aceptable,Medio,3,False,9
354,Pizza,Semanal,101,7,9,Lento,Medio,6,True,1
355,Tacos,Mensual,45,9,0,Lento,Alto,4,True,3
356,Tacos,Mensual,20,3,7,Lento,Medio,9,False,5
357,Pizza,Diario,33,0,9,Lento,Bajo,5,True,1
358,Pollo Frito,Mensual,47,6,1,Lento,Medio,7,False,3
359,Pollo Frito,Mensual,97,8,10,Lento,Medio,1,True,8
360,Hot Dogs,Semanal,23,2,4,Rápido,Bajo,5,False,10
361,Hamburguesas,Diario,110,3,6,Rápido,Alto,1,True,9
362,Pollo Frito,Mensual,112,0,10,Lento,Alto,9,True,10
363,Tacos,Diario,36,0,3,Lento,Bajo,5,False,10
364,Pizza,Semanal,47,0,5,Rápido,Medio,10,True,4
365,Pollo Frito,Semanal,98,7,4,Aceptable,Medio,9,False,1
366,Pizza,Semanal,35,3,4,Rápido,Alto,6,True,9
367,Pizza,Semanal,43,7,8,Rápido,Bajo,5,False,1
368,Pizza,Mensual,119,4,2,Aceptable,Alto,5,False,0
369,Hamburguesas,Semanal,20,10,1,Rápido,Alto,3,True,2
370,Hot Dogs,Quincenal,49,3,6,Lento,Alto,6,False,0
371,Hamburguesas,Quincenal,48,4,3,Aceptable,Bajo,5,False,8
372,Tacos,Diario,112,9,1,Lento,Medio,8,True,9
373,Pizza,Diario,41,2,5,Rápido,Medio,10,False,5
374,Hot Dogs,Diario,115,7,9,Rápido,Alto,4,True,2
375,Tacos,Quincenal,49,7,7,Aceptable,Alto,10,False,8
376,Pollo Frito,Semanal,23,1,5,Rápido,Alto,9,False,7
377,Tacos,Quincenal,107,0,3,Rápido,Alto,4,True,2
378,Pizza,Quincenal,90,9,0,Aceptable,Bajo,7,True,3
379,Hot Dogs,Semanal,32,0,7,Lento,Alto,3,False,4
380,Hamburguesas,Mensual,30,9,4,Lento,Alto,6,True,2
381,Hamburguesas,Semanal,26,3,5,Aceptable,Medio,7,True,1
382,Hot Dogs,Semanal,43,7,1,Lento,Alto,6,True,2
383,Pizza,Semanal,113,3,4,Aceptable,Alto,4,True,2
384,Hamburguesas,Semanal,30,4,1,Lento,Alto,0,False,2
385,Hot Dogs,Quincenal,26,2,5,Lento,Bajo,5,True,5
386,Pizza,Diario,79,0,5,Lento,Alto,5,True,5
387,Pollo Frito,Quincenal,115,10,8,Aceptable,Bajo,1,True,4
388,Pizza,Diario,82,1,6,Lento,Medio,1,False,0
389,Hamburguesas,Diario,86,6,0,Aceptable,Alto,7,True,0
390,Tacos,Mensual,67,7,1,Aceptable,Bajo,1,True,0
391,Pollo Frito,Semanal,101,4,3,Lento,Bajo,5,True,9
392,Tacos,Quincenal,78,1,2,Aceptable,Bajo,1,False,1
393,Hamburguesas,Semanal,78,3,5,Aceptable,Alto,7,False,2
394,Pizza,Diario,58,9,9,Rápido,Medio,0,True,4
